train_loss,test_loss,top1_accuracy,top5_accuracy,inference_time
,0.2470155642942642,95.65,99.55,0.018625600010156628
0.018662813585375745,0.10594859083609118,98.17,99.85,0.026820607930421837
0.0017288086967280833,0.12659100335417056,98.13,99.8,0.019271743983030318
0.0008616089805368877,0.13002358523888102,98.29,99.81,0.028605471968650816
0.0007513234600892853,0.14295069599132484,98.32,99.79,0.02522422394156457
0.001854684885839136,0.14349852136156752,98.17,99.84,0.02899148792028427
0.0008862355582794408,0.1623504412510431,98.02,99.84,0.0254361600279808
0.0013339327912079777,0.1611174583199041,98.08,99.79,0.018367487877607343
0.00041092278650855103,0.16041153016844764,98.16,99.82,0.025910304009914398
3.863159443008044e-05,0.16518151745343057,98.14,99.8,0.02582633593678475
1.6703742609145894e-05,0.16616840402650704,98.12,99.81,0.01878537598252297
